DATE,CSCICP03USM665S
1995-04-01,100.548280557649
1995-05-01,100.535869689791
1995-06-01,100.660397557645
1995-07-01,100.775462610633
1995-08-01,100.742181996706
1995-09-01,100.509806283272
1995-10-01,100.356190419978
1995-11-01,100.279897481794
1995-12-01,100.303452006478
1996-01-01,100.319421434032
1996-02-01,100.389157680235
1996-03-01,100.531147935176
1996-04-01,100.559193817552
1996-05-01,100.538971016424
1996-06-01,100.644877659477
1996-07-01,100.800408141243
1996-08-01,100.917563728145
1996-09-01,101.006065300259
1996-10-01,101.125261214039
1996-11-01,101.226562280579
1996-12-01,101.241436200687
1997-01-01,101.290892021628
1997-02-01,101.40586299348
1997-03-01,101.535303622872
1997-04-01,101.695961924672
1997-05-01,101.877470517401
1997-06-01,102.042836370545
1997-07-01,102.154122560674
1997-08-01,102.156719892478
1997-09-01,102.167335656974
1997-10-01,102.160610776428
1997-11-01,102.142673238839
1997-12-01,102.111820678735
1998-01-01,102.26062711375
1998-02-01,102.419756182969
1998-03-01,102.427130584054
1998-04-01,102.406204851598
1998-05-01,102.309678533531
1998-06-01,102.19365457217
1998-07-01,102.060932973689
1998-08-01,101.873439595054
1998-09-01,101.638905442755
1998-10-01,101.506275451954
1998-11-01,101.597372516013
1998-12-01,101.736657354518
1999-01-01,101.970191920851
1999-02-01,102.173121915081
1999-03-01,102.20750176547
1999-04-01,102.202808781569
1999-05-01,102.245309505355
1999-06-01,102.256136370833
1999-07-01,102.202019628851
1999-08-01,102.142013356302
1999-09-01,102.13197472393
1999-10-01,102.111911644843
1999-11-01,102.226806930156
1999-12-01,102.386258370635
2000-01-01,102.610006448827
2000-02-01,102.661292549734
2000-03-01,102.582808828415
2000-04-01,102.564838084527
2000-05-01,102.540293336317
2000-06-01,102.444410638172
2000-07-01,102.411952452877
2000-08-01,102.378135627496
2000-09-01,102.329790502456
2000-10-01,102.224071987566
2000-11-01,101.979251812376
2000-12-01,101.465331291704
2001-01-01,100.956051849678
2001-02-01,100.583842646266
2001-03-01,100.423208746659
2001-04-01,100.391006752292
2001-05-01,100.51067387488
2001-06-01,100.587602107757
2001-07-01,100.503851800995
2001-08-01,100.210286878147
2001-09-01,99.7873039931373
2001-10-01,99.6348022786791
2001-11-01,99.7786404624633
2001-12-01,100.126733756042
2002-01-01,100.463342570282
2002-02-01,100.664997393663
2002-03-01,100.847334125367
2002-04-01,100.898696028359
2002-05-01,100.873325744499
2002-06-01,100.629217868275
2002-07-01,100.302401653171
2002-08-01,100.033073015766
2002-09-01,99.7974560285661
2002-10-01,99.6195786827362
2002-11-01,99.6342312512498
2002-12-01,99.6317620132221
2003-01-01,99.4578053831048
2003-02-01,99.3035155221214
2003-03-01,99.3845682461226
2003-04-01,99.8076865131611
2003-05-01,100.224844475955
2003-06-01,100.377037509503
2003-07-01,100.3792693194
2003-08-01,100.292105109828
2003-09-01,100.257566672883
2003-10-01,100.402127399175
2003-11-01,100.687081515789
2003-12-01,100.982684283782
2004-01-01,101.255131453956
2004-02-01,101.144340174574
2004-03-01,100.980686214044
2004-04-01,100.813801196294
2004-05-01,100.737374610409
2004-06-01,100.871869629397
2004-07-01,100.980526698623
2004-08-01,100.956439563381
2004-09-01,100.840514523971
2004-10-01,100.753472971448
2004-11-01,100.816096653112
2004-12-01,100.948504851628
2005-01-01,100.93414702766
2005-02-01,100.782349343614
2005-03-01,100.558503288628
2005-04-01,100.374715313508
2005-05-01,100.440994261673
2005-06-01,100.685021172386
2005-07-01,100.593785733109
2005-08-01,100.017021687987
2005-09-01,99.3159951518112
2005-10-01,99.0884861098523
2005-11-01,99.465524811803
2005-12-01,100.028115290457
2006-01-01,100.281979205046
2006-02-01,100.234512281283
2006-03-01,100.106388671963
2006-04-01,99.8610520085922
2006-05-01,99.5860716593076
2006-06-01,99.5658207682021
2006-07-01,99.6010788848941
2006-08-01,99.69689620194
2006-09-01,100.00431428827
2006-10-01,100.41376324886
2006-11-01,100.639003186239
2006-12-01,100.751542384675
2007-01-01,100.782738748757
2007-02-01,100.565218305206
2007-03-01,100.300228735486
2007-04-01,100.130567622921
2007-05-01,100.071765349262
2007-06-01,100.032108733075
2007-07-01,100.009570202643
2007-08-01,99.7861471640578
2007-09-01,99.537439853406
2007-10-01,99.2503341298124
2007-11-01,98.9717087860905
2007-12-01,98.8077768989288
2008-01-01,98.6502035756681
2008-02-01,98.2709743918458
2008-03-01,97.8137753876097
2008-04-01,97.2984185563798
2008-05-01,96.9284033749115
2008-06-01,96.8120439639193
2008-07-01,97.0101881713271
2008-08-01,97.2612174354262
2008-09-01,97.3354101744106
2008-10-01,96.991102871132
2008-11-01,96.7407693044674
2008-12-01,96.7334848356841
2009-01-01,96.7405167515687
2009-02-01,96.7151163301539
2009-03-01,96.9121032491336
2009-04-01,97.349247835398
2009-05-01,97.7253898954167
2009-06-01,97.8811189740079
2009-07-01,97.8370129920282
2009-08-01,97.8796312414437
2009-09-01,98.0531127703665
2009-10-01,98.0820264088295
2009-11-01,98.0957140848979
2009-12-01,98.2655705130524
2010-01-01,98.4230171201579
2010-02-01,98.4766849390626
2010-03-01,98.4736689252823
2010-04-01,98.4537755386048
2010-05-01,98.4525387568708
2010-06-01,98.3599654135422
2010-07-01,98.0829200285453
2010-08-01,97.9139519500708
2010-09-01,97.8644735947921
2010-10-01,97.9603448506391
2010-11-01,98.2107774075227
2010-12-01,98.4549106268062
2011-01-01,98.5602914069386
2011-02-01,98.5125476373244
2011-03-01,98.2754756933823
2011-04-01,98.2186331790588
2011-05-01,98.2033533771364
2011-06-01,97.9043309870933
2011-07-01,97.3428777991608
2011-08-01,96.8636489861484
2011-09-01,96.7982714463435
2011-10-01,97.0237266216168
2011-11-01,97.4536193098716
2011-12-01,97.9853811138155
2012-01-01,98.438716150668
2012-02-01,98.6914525945239
2012-03-01,98.8132469612537
2012-04-01,98.8473793894561
2012-05-01,98.7925544481561
2012-06-01,98.5917898584742
2012-07-01,98.5210481080811
2012-08-01,98.6878559697623
2012-09-01,98.9984510773853
2012-10-01,99.2211855629442
2012-11-01,99.1363539463902
2012-12-01,98.8084133723349
2013-01-01,98.6823258015407
2013-02-01,98.7834622412156
2013-03-01,98.9472854902344
2013-04-01,99.1556155470443
2013-05-01,99.4879121100097
2013-06-01,99.6597118720026
2013-07-01,99.6226885272802
2013-08-01,99.3468107097465
2013-09-01,98.9724710870381
2013-10-01,98.7410469299681
2013-11-01,98.8397532881634
2013-12-01,99.1381124248722
2014-01-01,99.3079483825592
2014-02-01,99.3768103914852
2014-03-01,99.4084994378478
2014-04-01,99.4802485546005
2014-05-01,99.4668645761091
2014-06-01,99.4409125937884
2014-07-01,99.4328672859943
2014-08-01,99.5261283499629
2014-09-01,99.7269389103678
2014-10-01,100.009251354588
2014-11-01,100.355638845967
2014-12-01,100.739726103125
2015-01-01,100.998502832374
2015-02-01,101.000744067499
2015-03-01,100.90620931265
2015-04-01,100.85261578393
2015-05-01,100.773919365779
2015-06-01,100.787714812839
2015-07-01,100.675382271422
2015-08-01,100.489862879011
2015-09-01,100.322674057586
2015-10-01,100.3513020068
2015-11-01,100.465393503394
2015-12-01,100.560424050203
2016-01-01,100.573243853734
2016-02-01,100.536684751527
2016-03-01,100.497676959007
2016-04-01,100.519276446885
2016-05-01,100.639098709118
2016-06-01,100.617507776312
2016-07-01,100.473896724852
2016-08-01,100.370151710478
2016-09-01,100.351392896969
2016-10-01,100.42669832065
2016-11-01,100.749010753001
2016-12-01,101.079409279533
2017-01-01,101.224494813225
2017-02-01,101.212456865197
2017-03-01,101.182519735827
2017-04-01,101.143747814174
2017-05-01,101.074046156974
2017-06-01,100.97044298522
2017-07-01,100.930301916309
2017-08-01,101.024713637058
2017-09-01,101.142957198708
2017-10-01,101.289447844003
2017-11-01,101.269813671627
2017-12-01,101.188997187339
